COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000,2000,ALL,Lek,0,Units,,,509000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001,2001,ALL,Lek,0,Units,,,733000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002,2002,ALL,Lek,0,Units,,,903000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2003,2003,ALL,Lek,0,Units,,,793000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2004,2004,ALL,Lek,0,Units,,,872000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2005,2005,ALL,Lek,0,Units,,,883000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2006,2006,ALL,Lek,0,Units,,,698000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,748000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,989000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,1155000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,949000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,1078000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,925000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,1227000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,2136000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,1170000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,1786000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,1824000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2018,2018,ALL,Lek,0,Units,,,1715000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2019,2019,ALL,Lek,0,Units,,,1605000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2020,2020,ALL,Lek,0,Units,,,1121686000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2021,2021,ALL,Lek,0,Units,,,2635000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,10000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,15000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,19000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,17000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,18000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,9000000,,
